,V0,V1,V2,V3,Vtot,J0,J1,J2,J3,Jtot
0,1.3617764,0.90936524,0.59473073,0.25074238,3.1166148,0.86505193,1.1112802,0.90913993,0.9689756,0.86505193
1,1.381399,0.9325611,0.61449641,0.27485707,3.2033136,1.7301039,2.2586253,1.8348032,1.9546376,1.7301039
2,1.3928576,0.94652796,0.62428916,0.27187511,3.2355497,2.5951557,3.4207568,2.7711258,2.9244003,2.5951557
3,1.407244,0.96493518,0.64165103,0.30815834,3.3219886,4.3252597,5.7706161,4.6729264,4.9724789,4.3252597
4,1.4166569,0.97805178,0.65086466,0.31827438,3.3638477,6.0553632,8.1403475,6.6180325,6.9832835,6.0553632
5,1.4266388,0.99153423,0.66006821,0.32615817,3.4043994,8.6505194,11.725552,9.5784254,9.98104,8.6505194
6,1.4414539,1.0121394,0.67559683,0.34331736,3.4725075,14.705883,20.179852,16.70409,17.147987,14.705883
7,1.4571133,1.0343025,0.69228822,0.36231738,3.5460215,25.951557,36.021484,30.537252,30.64567,25.951557
8,1.471028,1.054006,0.7072975,0.37792155,3.6102531,43.252594,60.561028,52.901722,51.70488,43.252594
9,1.4801147,1.0666262,0.71715802,0.38839442,3.6522932,60.553635,85.206612,76.13681,72.993332,60.553635
10,1.4897077,1.0796673,0.72776783,0.39912081,3.6962638,86.505188,122.3183,112.12984,105.35341,86.505188
11,1.5039058,1.0983264,0.74375015,0.41507077,3.7610531,147.05882,209.2979,199.42967,182.2774,147.05882
12,1.5190647,1.1172211,0.7609781,0.43220603,3.8294699,259.51556,371.80191,367.88321,328.52008,259.51556
13,1.5326881,1.1333482,0.77654076,0.44757214,3.8901494,432.52594,623.35034,634.53821,559.06842,432.52594
14,1.5416553,1.1436809,0.78674614,0.45749953,3.9295819,605.53632,876.07336,906.8089,793.81415,605.53632
15,1.5508815,1.1544033,0.79746848,0.46792254,3.9706759,865.05188,1252.4852,1321.1807,1150.8243,865.05188