,J0,J1,J2,J3,V0,V1,V2,V3,Vtot,Jtot
0,0.86505193,1.1382533,0.92165393,1.0714211,1.3560064,0.90995586,0.60783648,0.2713632,3.1451619,0.86505193
1,1.7301039,2.3318062,1.8776451,2.121588,1.3762901,0.93630344,0.62427831,0.28925511,3.2261269,1.7301039
2,2.5951557,3.5444467,2.8482766,3.2154117,1.3880035,0.9508943,0.63609838,0.27988833,3.2548845,2.5951557
3,4.3252597,6.0002284,4.8463531,5.3637748,1.4025911,0.97058624,0.64933306,0.30802155,3.3305321,4.3252597
4,6.0553632,8.4828033,6.9076676,7.5608134,1.4121232,0.98397827,0.65886736,0.31760693,3.3725758,6.0553632
5,8.6505194,12.238834,10.088856,10.881745,1.4221641,0.99812722,0.66897005,0.32345507,3.4127164,8.6505194
6,14.705883,21.061092,17.882212,18.736256,1.4368483,1.0194346,0.68415099,0.34113377,3.4815676,14.705883
7,25.951557,37.562889,33.276558,33.706688,1.4523318,1.0416771,0.70095438,0.36019236,3.5551558,25.951557
8,43.252594,63.042854,58.502697,57.2449,1.4660299,1.0610391,0.71610552,0.37593651,3.6191111,43.252594
9,60.553635,88.569824,84.948212,81.344864,1.4749595,1.0733755,0.72627372,0.38686916,3.6614778,60.553635
10,86.505188,126.9237,125.92857,118.17931,1.4843751,1.0859256,0.73708355,0.39791229,3.7052965,86.505188
11,147.05882,216.57474,225.11734,206.75204,1.4983059,1.1037117,0.7533595,0.41475117,3.7701283,147.05882
12,259.51556,383.23914,415.31989,376.9949,1.513116,1.1216358,0.77075148,0.43267086,3.8381741,259.51556
13,432.52594,639.33258,713.50684,646.38098,1.5263139,1.1368858,0.78614157,0.44844124,3.8977826,432.52594
14,605.53632,894.49493,1014.4578,917.7005,1.5349072,1.1465765,0.79585856,0.45864257,3.9359848,605.53632
15,865.05188,1265.3031,1466.3101,1267.5792,1.5432773,1.1565509,0.80237734,0.4692975,3.971503,865.05188