darkV,darkJ,lightV,lightJ
1.1,100.0525,1.1,99.7425
1.09,100.0525,1.09,97.324997
1.08,100.055,1.08,95.064995
1.07,100.0525,1.07,92.147499
1.06,98.397499,1.06,89.004997
1.05,95.6875,1.05,86.317505
1.04,92.984993,1.04,83.784996
1.03,90.279999,1.03,81.285004
1.02,87.559998,1.02,78.745003
1.01,84.875,1.01,76.227501
1,82.182495,1,73.705002
0.99,79.520004,0.99,71.209999
0.98,76.845001,0.98,68.697495
0.97,74.202499,0.97,66.215004
0.96,71.565002,0.96,63.730003
0.95,68.912498,0.95,61.225002
0.94,66.292503,0.94,58.744999
0.93,63.665001,0.93,56.247498
0.92,61.07,0.92,53.7775
0.91,58.467499,0.91,51.287498
0.9,55.907497,0.9,48.829998
0.89,53.362499,0.89,46.375
0.88,50.8125,0.88,43.9025
0.87,48.310001,0.87,41.459999
0.86,45.805,0.86,39
0.85,43.349998,0.85,36.575001
0.84,40.9025,0.84,34.139999
0.83,38.5075,0.83,31.7325
0.82,36.145,0.82,29.34
0.81,33.797501,0.81,26.932501
0.8,31.512499,0.8,24.557499
0.79,29.252499,0.79,22.195499
0.78,27.067499,0.78,19.855249
0.77,24.93,0.77,17.525749
0.76,22.84,0.76,15.19525
0.75,20.849749,0.75,12.901751
0.74,18.902,0.74,10.608
0.73,17.054998,0.73,8.3632498
0.72,15.27975,0.72,6.1192498
0.71,13.61725,0.71,3.9185002
0.7,12.0605,0.7,1.6743
0.69,10.60375,0.69,-0.29517502
0.68,9.2779999,0.68,-2.40605
0.67,8.0652494,0.67,-4.6367502
0.66,6.9900002,0.66,-6.6665001
0.65,6.0299997,0.65,-8.67875
0.64,5.2014999,0.64,-10.617249
0.63,4.4864998,0.63,-12.51
0.62,3.8709998,0.62,-14.3625
0.61,3.3552499,0.61,-16.140001
0.6,2.91875,0.6,-17.866251
0.59,2.556,0.59,-19.506498
0.58,2.2502499,0.58,-21.0825
0.57,1.9981749,0.57,-22.557249
0.56,1.7864749,0.56,-23.9615
0.55,1.60795,0.55,-25.807499
0.54,1.459425,0.54,-27.004999
0.53,1.33305,0.53,-28.1075
0.52,1.22735,0.52,-29.092501
0.51,1.1373,0.51,-29.9925
0.5,1.0596499,0.5,-30.817499
0.49,0.99290001,0.49,-31.547503
0.48,0.93440002,0.48,-32.2075
0.47,0.88362503,0.47,-32.782497
0.46,0.83842504,0.46,-33.322498
0.45,0.79822499,0.45,-33.782501
0.44,0.7622,0.44,-34.2225
0.43,0.729325,0.43,-34.630001
0.42,0.699525,0.42,-35.0075
0.41,0.6717,0.41,-35.375
0.4,0.646025,0.4,-35.6875
0.39,0.621575,0.39,-35.997498
0.38,0.59895003,0.38,-36.257504
0.37,0.57757503,0.37,-36.514999
0.36,0.55687499,0.36,-36.759998
0.35,0.53727502,0.35,-36.987499
0.34,0.51832503,0.34,-37.220001
0.33,0.5,0.33,-37.452499
0.32,0.48177502,0.32,-37.647499
0.31,0.46437502,0.31,-37.849998
0.3,0.44747502,0.3,-38.057499
0.29,0.4303,0.29,-38.1675
0.28,0.41405001,0.28,-38.432503
0.27,0.39785001,0.27,-38.535
0.26,0.381975,0.26,-38.587498
0.25,0.36629999,0.25,-38.745003
0.24,0.350725,0.24,-38.805
0.23,0.3353,0.23,-38.897499
0.22,0.31979999,0.22,-39.012501
0.21,0.3046,0.21,-39.092499
0.2,0.28944999,0.2,-39.135002
0.19,0.274575,0.19,-39.192501
0.18,0.25975001,0.18,-39.204998
0.17,0.244875,0.17,-39.25
0.16,0.23022501,0.16,-39.314999
0.15,0.21539749,0.15,-39.357498
0.14,0.20089249,0.14,-39.4025
0.13,0.18627,0.13,-39.442497
0.12,0.17183749,0.12,-39.445004
0.11,0.15748501,0.11,-39.467499
0.1,0.14297751,0.1,-39.5
0.09,0.1286425,0.09,-39.5
0.08,0.11421,0.08,-39.510002
0.07,0.099940002,0.07,-39.517498
0.06,0.085574999,0.06,-39.524998
0.05,0.071340002,0.05,-39.5625
0.04,0.057127502,0.04,-39.57
0.03,0.042762499,0.03,-39.59
0.02,0.028565001,0.02,-39.599998
0.01,0.01424275,0.01,-39.627499
0,3.89E-07,0,-39.622501
-0.01,-0.01418925,-0.01,-39.6325
-0.02,-0.028375,-0.02,-39.6325
-0.03,-0.042695001,-0.03,-39.6525
-0.04,-0.056882501,-0.04,-39.650002
-0.05,-0.071205005,-0.05,-39.657501
-0.06,-0.085422501,-0.06,-39.6675
-0.07,-0.099610001,-0.07,-39.674999
-0.08,-0.113965,-0.08,-39.7075
-0.09,-0.1282025,-0.09,-39.715
-0.1,-0.1425775,-0.1,-39.785
-0.11,-0.15682,-0.11,-39.755001
-0.12,-0.17124251,-0.12,-39.815002
-0.13,-0.1855025,-0.13,-39.842503
-0.14,-0.1999425,-0.14,-39.82
-0.15,-0.21423249,-0.15,-39.860001
-0.16,-0.22866499,-0.16,-39.880001
-0.17,-0.24299,-0.17,-39.880001
-0.18,-0.25757501,-0.18,-39.922497
-0.19,-0.27200001,-0.19,-39.947498
-0.2,-0.28637499,-0.2,-39.9575