QI0926P_D_forD_V,QI0926P_D_forD,QI0926P_D_forL_V,QI0926P_D_forL,QI0926P_D_revD_V,QI0926P_D_revD,QI0926P_D_revL_V,QI0926P_D_revL
1.3,29.541964,1.3,29.625893,-0.2,-0.000128125,-0.2,-23.526787
1.29,27.793751,1.29,27.474108,-0.19,-0.000115857,-0.19,-23.516071
1.28,26.03125,1.28,25.341965,-0.18,-0.000107643,-0.18,-23.492857
1.27,24.303572,1.27,23.262501,-0.17,-0.000100179,-0.17,-23.469643
1.26,22.583927,1.26,21.188393,-0.16,-9.36E-05,-0.16,-23.455357
1.25,20.910713,1.25,19.15625,-0.15,-8.67E-05,-0.15,-23.449999
1.24,19.258036,1.24,17.130358,-0.14,-8.58E-05,-0.14,-23.424999
1.23,17.661608,1.23,15.160714,-0.13,-7.89E-05,-0.13,-23.399107
1.22,16.111607,1.22,13.173214,-0.12,-7.25E-05,-0.12,-23.377678
1.21,14.598214,1.21,11.258929,-0.11,-6.62E-05,-0.11,-23.371428
1.2,13.152678,1.2,9.3589277,-0.1,-6.01E-05,-0.1,-23.373213
1.19,11.758036,1.19,7.4242859,-0.09,-5.38E-05,-0.09,-23.367857
1.18,10.442857,1.18,5.5854464,-0.08,-4.75E-05,-0.08,-23.355356
1.17,9.1901789,1.17,3.7795537,-0.07,-4.12E-05,-0.07,-23.325001
1.16,8.015893,1.16,2.0004466,-0.06,-3.48E-05,-0.06,-23.310715
1.15,6.9373217,1.15,0.21404465,-0.05,-2.84E-05,-0.05,-23.293749
1.14,5.9410715,1.14,-1.4800893,-0.04,-2.18E-05,-0.04,-23.305357
1.13,5.0488396,1.13,-3.1063395,-0.03,-1.52E-05,-0.03,-23.307144
1.12,4.2440176,1.12,-4.6938391,-0.02,-8.37E-06,-0.02,-23.303572
1.11,3.5419643,1.11,-6.2007146,-0.01,-4.87E-06,-0.01,-23.28393
1.1,2.9271429,1.1,-7.6548214,0,1.94E-06,0,-23.266964
1.09,2.4060714,1.09,-8.9964285,0.01,7.24E-06,0.01,-23.256248
1.08,1.9657143,1.08,-10.380357,0.02,1.43E-05,0.02,-23.261606
1.07,1.5951786,1.07,-11.702679,0.03,2.33E-05,0.03,-23.269644
1.06,1.2924107,1.06,-12.770535,0.04,3.15E-05,0.04,-23.254463
1.05,1.0425893,1.05,-13.915178,0.05,3.95E-05,0.05,-23.236607
1.04,0.84196424,1.04,-14.961607,0.06,4.75E-05,0.06,-23.214285
1.03,0.68555361,1.03,-15.815179,0.07,5.63E-05,0.07,-23.216963
1.02,0.55054462,1.02,-16.704464,0.08,6.95E-05,0.08,-23.224106
1.01,0.44491965,1.01,-17.499105,0.09,6.97E-05,0.09,-23.237501
1,0.35982144,1,-18.130358,0.1,7.72E-05,0.1,-23.233034
0.99,0.29242855,0.99,-18.773214,0.11,8.59E-05,0.11,-23.216963
0.98,0.23797321,0.98,-19.299999,0.12,0.0001015,0.12,-23.200893
0.97,0.19467857,0.97,-19.733036,0.13,0.000113071,0.13,-23.195538
0.96,0.15983036,0.96,-20.159822,0.14,0.000124125,0.14,-23.195538
0.95,0.1314375,0.95,-20.505358,0.15,0.000135063,0.15,-23.199108
0.94,0.10865179,0.94,-20.805357,0.16,0.000146214,0.16,-23.19018
0.93,0.089973219,0.93,-21.064285,0.17,0.000157411,0.17,-23.180357
0.92,0.075692862,0.92,-21.254465,0.18,0.000168839,0.18,-23.161608
0.91,0.062807143,0.91,-21.393749,0.19,0.000180464,0.19,-23.15357
0.9,0.052514285,0.9,-21.579464,0.2,0.000192045,0.2,-23.163393
0.89,0.044049107,0.89,-21.888391,0.21,0.000204188,0.21,-23.158928
0.88,0.036991071,0.88,-21.825893,0.22,0.000216089,0.22,-23.167856
0.87,0.031199107,0.87,-22.215178,0.23,0.000228509,0.23,-23.15
0.86,0.026341965,0.86,-22.090179,0.24,0.000240723,0.24,-23.132143
0.85,0.022333037,0.85,-22.133036,0.25,0.000253232,0.25,-23.114285
0.84,0.018959822,0.84,-22.453571,0.26,0.000266036,0.26,-23.109821
0.83,0.016170535,0.83,-22.394644,0.27,0.000278804,0.27,-23.109821
0.82,0.013832143,0.82,-22.467857,0.28,0.000291973,0.28,-23.092855
0.81,0.011859821,0.81,-22.645536,0.29,0.000305241,0.29,-23.074999
0.8,0.010219643,0.8,-22.618752,0.3,0.000318973,0.3,-23.063393
0.79,0.008829464,0.79,-22.678572,0.31,0.000332625,0.31,-23.054464
0.78,0.007640893,0.78,-22.74732,0.32,0.00034667,0.32,-23.046429
0.77,0.006663393,0.77,-22.748215,0.33,0.000361348,0.33,-23.029465
0.76,0.005834911,0.76,-22.792858,0.34,0.00037608,0.34,-23.008036
0.75,0.005135804,0.75,-22.829464,0.35,0.000391563,0.35,-22.983929
0.74,0.004532768,0.74,-22.84107,0.36,0.000407268,0.36,-22.964287
0.73,0.004021964,0.73,-22.854465,0.37,0.000423884,0.37,-22.946428
0.72,0.003578661,0.72,-22.867857,0.38,0.000440687,0.38,-22.933929
0.71,0.003200357,0.71,-22.870537,0.39,0.000458304,0.39,-22.916965
0.7,0.002873214,0.7,-22.897322,0.4,0.000476946,0.4,-22.902679
0.69,0.002587054,0.69,-22.928572,0.41,0.000496018,0.41,-22.887499
0.68,0.002340179,0.68,-22.969643,0.42,0.000516375,0.42,-22.86875
0.67,0.002122946,0.67,-22.9125,0.43,0.000537393,0.43,-22.863394
0.66,0.001934554,0.66,-23.084822,0.44,0.000559804,0.44,-22.849998
0.65,0.001767321,0.65,-22.949106,0.45,0.000583188,0.45,-22.833927
0.64,0.001621696,0.64,-23.095535,0.46,0.000607786,0.46,-22.816071
0.63,0.001492768,0.63,-23.050892,0.47,0.000634321,0.47,-22.798214
0.62,0.001377143,0.62,-22.992857,0.48,0.000662259,0.48,-22.793751
0.61,0.001275536,0.61,-23.090179,0.49,0.000692277,0.49,-22.784821
0.6,0.001184018,0.6,-23.080357,0.5,0.000724063,0.5,-22.782145
0.59,0.001102857,0.59,-23.063393,0.51,0.000758223,0.51,-22.75893
0.58,0.001029286,0.58,-23.125893,0.52,0.000794866,0.52,-22.732143
0.57,0.000963839,0.57,-23.134823,0.53,0.000811161,0.53,-22.708929
0.56,0.000904375,0.56,-23.136608,0.54,0.000868482,0.54,-22.700001
0.55,0.000850357,0.55,-23.158928,0.55,0.000920089,0.55,-22.690178
0.54,0.000819438,0.54,-23.158037,0.56,0.000975179,0.56,-22.678572
0.53,0.000769098,0.53,-23.168751,0.57,0.001034018,0.57,-22.642857
0.52,0.000727857,0.52,-23.174109,0.58,0.001098036,0.58,-22.601786
0.51,0.000690098,0.51,-23.175894,0.59,0.001169464,0.59,-22.572321
0.5,0.00065517,0.5,-23.175894,0.6,0.001247054,0.6,-22.557142
0.49,0.000623143,0.49,-23.191965,0.61,0.001334018,0.61,-22.554464
0.48,0.000593089,0.48,-23.200001,0.62,0.001429464,0.62,-22.536608
0.47,0.000565357,0.47,-23.216963,0.63,0.001537321,0.63,-22.50893
0.46,0.000539027,0.46,-23.229464,0.64,0.001656875,0.64,-22.467857
0.45,0.000514562,0.45,-23.236607,0.65,0.001791429,0.65,-22.441963
0.44,0.000491491,0.44,-23.24375,0.66,0.001945893,0.66,-22.420534
0.43,0.000469188,0.43,-23.269644,0.67,0.002119643,0.67,-22.40625
0.42,0.000448411,0.42,-23.275892,0.68,0.002320714,0.68,-22.382143
0.41,0.000428277,0.41,-23.284821,0.69,0.002550178,0.69,-22.345537
0.4,0.000409348,0.4,-23.28393,0.7,0.002818661,0.7,-22.293751
0.39,0.000390875,0.39,-23.258928,0.71,0.003128393,0.71,-22.241072
0.38,0.000373393,0.38,-23.265179,0.72,0.003491429,0.72,-22.195536
0.37,0.000356687,0.37,-23.275892,0.73,0.003921875,0.73,-22.173214
0.36,0.000340098,0.36,-23.286606,0.74,0.004424464,0.74,-22.134821
0.35,0.000324464,0.35,-23.293749,0.75,0.005025357,0.75,-22.070536
0.34,0.000309134,0.34,-23.283035,0.76,0.005730179,0.76,-22.003571
0.33,0.000294393,0.33,-23.266964,0.77,0.006573929,0.77,-21.939287
0.32,0.000279911,0.32,-23.260715,0.78,0.007568392,0.78,-21.877678
0.31,0.000266214,0.31,-23.253572,0.79,0.008747678,0.79,-21.813395
0.3,0.00025283,0.3,-23.276787,0.8,0.010175893,0.8,-21.74375
0.29,0.000239634,0.29,-23.286606,0.81,0.01185625,0.81,-21.651787
0.28,0.000227036,0.28,-23.291073,0.82,0.013873214,0.82,-21.544643
0.27,0.000214634,0.27,-23.284821,0.83,0.016281251,0.83,-21.428572
0.26,0.000202732,0.26,-23.267859,0.84,0.019177679,0.84,-21.313393
0.25,0.000190982,0.25,-23.358927,0.85,0.022703571,0.85,-21.200893
0.24,0.000179688,0.24,-23.327679,0.86,0.026925894,0.86,-21.075001
0.23,0.00016883,0.23,-23.325001,0.87,0.032082144,0.87,-20.922321
0.22,0.000157795,0.22,-23.389284,0.88,0.038266964,0.88,-20.752678
0.21,0.000147598,0.21,-23.335714,0.89,0.045849107,0.89,-20.55982
0.2,0.000137223,0.2,-23.341965,0.9,0.054980356,0.9,-20.351786
0.19,0.000127473,0.19,-23.375893,0.91,0.066085719,0.91,-20.12768
0.18,0.00011783,0.18,-23.372322,0.92,0.079799108,0.92,-19.87768
0.17,0.000108339,0.17,-23.385714,0.93,0.095258929,0.93,-19.598213
0.16,9.92E-05,0.16,-23.408035,0.94,0.11591072,0.94,-19.280355
0.15,9.01E-05,0.15,-23.4,0.95,0.14090177,0.95,-18.922321
0.14,8.13E-05,0.14,-23.404465,0.96,0.17196429,0.96,-18.533037
0.13,8.46E-05,0.13,-23.40625,0.97,0.20998214,0.97,-18.104464
0.12,7.64E-05,0.12,-23.421429,0.98,0.25710714,0.98,-17.624107
0.11,6.85E-05,0.11,-23.427679,0.99,0.31611606,0.99,-17.079464
0.1,6.06E-05,0.1,-23.422321,1,0.38874999,1,-16.485714
0.09,5.29E-05,0.09,-23.4375,1.01,0.47975001,1.01,-15.826786
0.08,4.52E-05,0.08,-23.396427,1.02,0.59149998,1.02,-15.109821
0.07,3.78E-05,0.07,-23.467857,1.03,0.73121434,1.03,-14.3125
0.06,3.03E-05,0.06,-23.538393,1.04,0.88607144,1.04,-13.456249
0.05,2.31E-05,0.05,-23.401785,1.05,1.0969642,1.05,-12.524107
0.04,1.59E-05,0.04,-23.566072,1.06,1.3548213,1.06,-11.514286
0.03,8.81E-06,0.03,-23.5375,1.07,1.6637499,1.07,-10.447321
0.02,6.77E-06,0.02,-23.448214,1.08,2.0380356,1.08,-9.2991076
0.01,7.03E-07,0.01,-23.563393,1.09,2.4787502,1.09,-8.0910711
0,-6.91E-06,0,-23.573215,1.1,2.995893,1.1,-6.94625
-0.01,-1.02E-05,-0.01,-23.538393,1.11,3.6017857,1.11,-5.5546427
-0.02,-1.87E-05,-0.02,-23.570536,1.12,4.2895536,1.12,-4.1341963
-0.03,-2.59E-05,-0.03,-23.566072,1.13,5.0747318,1.13,-2.6499107
-0.04,-3.28E-05,-0.04,-23.557144,1.14,5.9422321,1.14,-1.1267858
-0.05,-3.93E-05,-0.05,-23.569643,1.15,6.9084821,1.15,0.30392858
-0.06,-4.55E-05,-0.06,-23.569643,1.16,7.9516964,1.16,1.9158928
-0.07,-5.16E-05,-0.07,-23.574106,1.17,9.0330362,1.17,3.6424999
-0.08,-5.82E-05,-0.08,-23.576786,1.18,10.257143,1.18,5.3526788
-0.09,-6.73E-05,-0.09,-23.582144,1.19,11.539286,1.19,7.1366963
-0.1,-6.69E-05,-0.1,-23.598215,1.2,12.901785,1.2,8.8901787
-0.11,-7.16E-05,-0.11,-23.605358,1.21,14.315179,1.21,10.707144
-0.12,-7.68E-05,-0.12,-23.609821,1.22,15.799107,1.22,12.608036
-0.13,-8.22E-05,-0.13,-23.609821,1.23,17.322321,1.23,14.533929
-0.14,-9.34E-05,-0.14,-23.608929,1.24,18.893749,1.24,16.446428
-0.15,-0.000100339,-0.15,-23.59643,1.25,20.525892,1.25,18.438393
-0.16,-0.000106607,-0.16,-23.591072,1.26,22.185715,1.26,20.426785
-0.17,-0.000112375,-0.17,-23.588392,1.27,23.897322,1.27,22.448215
-0.18,-0.000118125,-0.18,-23.577679,1.28,25.62768,1.28,24.486607
-0.19,-0.000123473,-0.19,-23.5625,1.29,27.40893,1.29,26.565178
-0.2,-0.000128875,-0.2,-23.5625,1.3,29.200893,1.3,28.640179