v,i,
-1.27E-01,3.87E+01,1.54E-01
-1.14E-01,3.87E+01,1.54E-01
-9.92E-02,3.86E+01,1.53E-01
-8.45E-02,3.87E+01,1.54E-01
-7.00E-02,3.87E+01,1.54E-01
-5.53E-02,3.87E+01,1.54E-01
-4.08E-02,3.86E+01,1.53E-01
-2.59E-02,3.87E+01,1.53E-01
-1.39E-02,3.87E+01,1.54E-01
3.16E-03,3.86E+01,1.53E-01
1.74E-02,3.86E+01,1.53E-01
3.21E-02,3.87E+01,1.54E-01
4.55E-02,3.87E+01,1.54E-01
6.12E-02,3.86E+01,1.53E-01
7.36E-02,3.87E+01,1.54E-01
8.83E-02,3.87E+01,1.54E-01
1.03E-01,3.88E+01,1.54E-01
1.18E-01,3.87E+01,1.54E-01
1.35E-01,3.86E+01,1.53E-01
1.47E-01,3.87E+01,1.54E-01
1.62E-01,3.86E+01,1.53E-01
1.77E-01,3.87E+01,1.54E-01
1.88E-01,3.87E+01,1.54E-01
2.04E-01,3.87E+01,1.54E-01
2.19E-01,3.87E+01,1.54E-01
2.34E-01,3.87E+01,1.54E-01
2.47E-01,3.87E+01,1.54E-01
2.64E-01,3.87E+01,1.53E-01
2.77E-01,3.87E+01,1.54E-01
2.90E-01,3.87E+01,1.54E-01
3.05E-01,3.87E+01,1.54E-01
3.19E-01,3.87E+01,1.54E-01
3.38E-01,3.87E+01,1.53E-01
3.50E-01,3.87E+01,1.54E-01
3.65E-01,3.87E+01,1.54E-01
3.78E-01,3.86E+01,1.53E-01
3.92E-01,3.87E+01,1.54E-01
4.07E-01,3.86E+01,1.53E-01
4.22E-01,3.87E+01,1.54E-01
4.37E-01,3.86E+01,1.53E-01
4.50E-01,3.86E+01,1.53E-01
4.66E-01,3.85E+01,1.53E-01
4.78E-01,3.85E+01,1.53E-01
4.95E-01,3.84E+01,1.52E-01
5.05E-01,3.83E+01,1.52E-01
5.18E-01,3.81E+01,1.51E-01
5.32E-01,3.79E+01,1.50E-01
5.43E-01,3.75E+01,1.49E-01
5.54E-01,3.72E+01,1.48E-01
5.65E-01,3.68E+01,1.46E-01
5.74E-01,3.63E+01,1.44E-01
5.82E-01,3.58E+01,1.42E-01
5.90E-01,3.51E+01,1.40E-01
5.98E-01,3.44E+01,1.36E-01
6.05E-01,3.36E+01,1.33E-01
6.11E-01,3.27E+01,1.30E-01
6.16E-01,3.18E+01,1.26E-01
6.20E-01,3.09E+01,1.23E-01
6.25E-01,2.99E+01,1.19E-01
6.30E-01,2.89E+01,1.15E-01
6.34E-01,2.78E+01,1.10E-01
6.37E-01,2.68E+01,1.06E-01
6.41E-01,2.58E+01,1.02E-01
6.44E-01,2.45E+01,9.71E-02
6.47E-01,2.34E+01,9.31E-02
6.50E-01,2.22E+01,8.81E-02
6.53E-01,2.11E+01,8.37E-02
6.55E-01,2.00E+01,7.93E-02
6.58E-01,1.86E+01,7.40E-02
6.61E-01,1.73E+01,6.89E-02
6.63E-01,1.62E+01,6.45E-02
6.65E-01,1.50E+01,5.96E-02
6.67E-01,1.37E+01,5.43E-02
6.69E-01,1.25E+01,4.96E-02
6.71E-01,1.11E+01,4.41E-02
6.73E-01,9.82E+00,3.90E-02
6.75E-01,8.69E+00,3.45E-02
6.77E-01,7.22E+00,2.87E-02
6.78E-01,5.97E+00,2.37E-02
6.80E-01,4.61E+00,1.83E-02
6.82E-01,3.43E+00,1.36E-02
6.83E-01,2.00E+00,7.92E-03
6.85E-01,7.98E-01,3.17E-03
6.87E-01,-6.28E-01,-2.49E-03
6.88E-01,-1.95E+00,-7.74E-03
6.90E-01,-3.25E+00,-1.29E-02
6.91E-01,-4.65E+00,-1.84E-02
6.93E-01,-5.88E+00,-2.34E-02
6.94E-01,-7.30E+00,-2.90E-02
6.95E-01,-8.58E+00,-3.41E-02
6.97E-01,-9.93E+00,-3.94E-02
6.98E-01,-1.13E+01,-4.49E-02
6.99E-01,-1.27E+01,-5.04E-02
7.01E-01,-1.40E+01,-5.56E-02
7.02E-01,-1.53E+01,-6.09E-02
7.03E-01,-1.69E+01,-6.71E-02
7.04E-01,-1.74E+01,-6.91E-02
,,
,,
,,
,,
,,
,,