nm,WB417n6TZ_C_1st_EQE,WB417n6RZ_C_2nd_EQE
350,0.269193936,0.003336949
355,0.271685277,0.003416388
360,0.3004405,0.00242118
365,0.351673618,0.001465328
370,0.380592238,0.00278525
375,0.418358273,0.002906164
380,0.467173147,0.003117103
385,0.478668753,0.003436361
390,0.505599786,0.003064709
395,0.517026509,0.00303348
400,0.536592223,0.003019048
405,0.580861527,0.003568456
410,0.606620591,0.003292074
415,0.5965748,0.003461541
420,0.616463433,0.003205405
425,0.645098168,0.003110037
430,0.648906506,0.003054392
435,0.65387491,0.002720013
440,0.667810983,0.002968594
445,0.684234743,0.002970962
450,0.690430671,0.002845767
455,0.693794936,0.002873101
460,0.715681691,0.002724724
465,0.716204661,0.002781592
470,0.724458698,0.002717188
475,0.72461566,0.002679615
480,0.734832014,0.002802701
485,0.75545265,0.002524781
490,0.771657497,0.002567871
495,0.775558881,0.002627048
500,0.796623155,0.002808139
505,0.801189266,0.002870322
510,0.817535163,0.002793313
515,0.815097538,0.003239779
520,0.81737894,0.003306692
525,0.823648183,0.003840045
530,0.828720204,0.004292392
535,0.834006177,0.004979189
540,0.835496758,0.005919801
545,0.831838016,0.007055577
550,0.828984381,0.008891255
555,0.856787739,0.009427387
560,0.851783407,0.011267617
565,0.864848928,0.014156145
570,0.860443556,0.016619683
575,0.855647762,0.018845568
580,0.861265666,0.02146938
585,0.856676536,0.024292482
590,0.859039073,0.028069082
595,0.844066595,0.032195776
600,0.855698108,0.037254419
605,0.854479698,0.042590611
610,0.835016725,0.048929292
615,0.831686031,0.058933651
620,0.845200826,0.074150892
625,0.815178504,0.090404613
630,0.798827383,0.111742212
635,0.774477963,0.13685463
640,0.7574439,0.166537794
645,0.734662928,0.199460748
650,0.646673531,0.267091879
655,0.550636344,0.361347228
660,0.408123938,0.480056362
665,0.252348002,0.604446671
670,0.11846337,0.736057631
675,0.04485458,0.806225566
680,0.017249149,0.832623618
685,0.004618108,0.838561224
690,0.001451481,0.841938644
695,0.000529965,0.83447931
700,0.000462273,0.83733604
705,0.000227637,0.834222113
710,0.000225864,0.846638989
715,0.000220323,0.847950356
720,0,0.857594082
725,0,0.874928229
730,0,0.875579376
735,0,0.864930524
740,0,0.861585413
745,0,0.84811675
750,0,0.841923987
755,0,0.833760581
760,0,0.838297293
765,0,0.844233324
770,0,0.851890619
775,0,0.863662427
780,0.00010375,0.866344676
785,0.000105181,0.863094779
790,0.000107084,0.861139937
795,0.00010771,0.856875791
800,0.00010854,0.839581659
805,0,0.823962794
810,0.000109355,0.823539878
815,0,0.824248374
820,0,0.833395942
825,0,0.823870835
830,0,0.81980915
835,0.000104003,0.830578201
840,0,0.824747291
845,0,0.80444562
850,9.94E-05,0.774113948
855,0,0.750461765
860,0,0.73367992
865,9.17E-05,0.659858417
870,0,0.52933927
875,0,0.360151101
880,0.00344856,0.222510092
885,0,0.112654364
890,0,0.036861021
895,0,0.012643645
900,0,0.006653921
905,9.71E-05,0.004270231
910,0,0.002524382
915,9.06E-05,0.001636691
920,8.74E-05,0.001407927
925,0,0.001369151
930,0,0.001336637
935,8.07E-05,0.000975139
940,7.97E-05,0.000724027
945,7.78E-05,0.000549443
950,0,0.00060812
955,0,0.000729285
960,0,0.000631887
965,0,0.000410848
970,6.68E-05,0.000267355
975,6.41E-05,0.000128653
980,6.24E-05,0.000187442
985,0,0.00012473
990,0,0.00012196
995,0,0.000119725
1000,5.91E-05,0.000119015