#ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2,,,
660,1.56E+00,1.40E+00,1.27E+00
661,1.57E+00,1.39E+00,1.26E+00
662,1.57E+00,1.38E+00,1.25E+00
663,1.56E+00,1.38E+00,1.25E+00
664,1.55E+00,1.40E+00,1.26E+00
665,1.57E+00,1.42E+00,1.29E+00
666,1.56E+00,1.42E+00,1.29E+00
667,1.54E+00,1.41E+00,1.28E+00
668,1.53E+00,1.42E+00,1.28E+00
669,1.56E+00,1.44E+00,1.30E+00
670,1.53E+00,1.42E+00,1.29E+00
671,1.53E+00,1.42E+00,1.28E+00
672,1.51E+00,1.40E+00,1.27E+00
673,1.52E+00,1.41E+00,1.28E+00
674,1.51E+00,1.41E+00,1.27E+00
675,1.50E+00,1.40E+00,1.26E+00
676,1.52E+00,1.41E+00,1.28E+00
677,1.50E+00,1.40E+00,1.27E+00
678,1.51E+00,1.41E+00,1.27E+00
679,1.49E+00,1.39E+00,1.26E+00
680,1.49E+00,1.40E+00,1.27E+00
681,1.49E+00,1.39E+00,1.26E+00
682,1.49E+00,1.40E+00,1.27E+00
683,1.48E+00,1.38E+00,1.25E+00
684,1.47E+00,1.37E+00,1.24E+00
685,1.47E+00,1.37E+00,1.25E+00
686,1.43E+00,1.34E+00,1.22E+00
687,1.47E+00,9.68E-01,8.83E-01
688,1.48E+00,1.12E+00,1.02E+00
689,1.48E+00,1.13E+00,1.03E+00
690,1.48E+00,1.18E+00,1.07E+00
691,1.47E+00,1.23E+00,1.12E+00
692,1.45E+00,1.27E+00,1.15E+00
693,1.46E+00,1.26E+00,1.14E+00
694,1.46E+00,1.25E+00,1.13E+00
695,1.44E+00,1.27E+00,1.15E+00
696,1.44E+00,1.27E+00,1.15E+00
697,1.44E+00,1.34E+00,1.22E+00
698,1.42E+00,1.32E+00,1.20E+00
699,1.43E+00,1.29E+00,1.17E+00
700,1.42E+00,1.28E+00,1.16E+00
701,1.41E+00,1.27E+00,1.15E+00
702,1.40E+00,1.27E+00,1.15E+00
703,1.41E+00,1.27E+00,1.16E+00
704,1.42E+00,1.31E+00,1.19E+00
705,1.43E+00,1.32E+00,1.20E+00
706,1.41E+00,1.31E+00,1.19E+00
707,1.40E+00,1.31E+00,1.19E+00
708,1.40E+00,1.30E+00,1.18E+00
709,1.39E+00,1.31E+00,1.19E+00
710,1.40E+00,1.32E+00,1.20E+00
711,1.40E+00,1.32E+00,1.19E+00
712,1.38E+00,1.31E+00,1.19E+00
713,1.37E+00,1.29E+00,1.17E+00
714,1.38E+00,1.30E+00,1.18E+00
715,1.35E+00,1.26E+00,1.14E+00
716,1.37E+00,1.27E+00,1.15E+00
717,1.37E+00,1.11E+00,1.01E+00
718,1.36E+00,1.03E+00,9.39E-01
719,1.30E+00,9.23E-01,8.43E-01
720,1.35E+00,9.86E-01,8.99E-01
721,1.35E+00,1.09E+00,9.90E-01
722,1.36E+00,1.24E+00,1.13E+00
723,1.35E+00,1.14E+00,1.04E+00
724,1.36E+00,1.06E+00,9.63E-01
725,1.35E+00,1.04E+00,9.47E-01
726,1.34E+00,1.08E+00,9.86E-01
727,1.34E+00,1.09E+00,9.90E-01
728,1.34E+00,1.04E+00,9.50E-01
729,1.28E+00,1.05E+00,9.55E-01
730,1.34E+00,1.13E+00,1.03E+00
731,1.31E+00,1.07E+00,9.77E-01
732,1.33E+00,1.15E+00,1.05E+00
733,1.31E+00,1.20E+00,1.09E+00
734,1.34E+00,1.24E+00,1.13E+00
735,1.33E+00,1.22E+00,1.11E+00
736,1.31E+00,1.21E+00,1.10E+00
737,1.31E+00,1.20E+00,1.10E+00
738,1.30E+00,1.23E+00,1.12E+00
739,1.26E+00,1.19E+00,1.09E+00
740,1.28E+00,1.22E+00,1.11E+00
741,1.27E+00,1.21E+00,1.11E+00
742,1.26E+00,1.22E+00,1.11E+00
743,1.29E+00,1.24E+00,1.13E+00
744,1.30E+00,1.25E+00,1.14E+00
745,1.29E+00,1.25E+00,1.14E+00
746,1.29E+00,1.25E+00,1.14E+00
747,1.29E+00,1.25E+00,1.14E+00
748,1.28E+00,1.24E+00,1.13E+00
749,1.28E+00,1.24E+00,1.13E+00
750,1.27E+00,1.23E+00,1.13E+00
751,1.27E+00,1.23E+00,1.12E+00
752,1.27E+00,1.23E+00,1.13E+00
753,1.27E+00,1.23E+00,1.12E+00
754,1.28E+00,1.24E+00,1.14E+00
755,1.28E+00,1.24E+00,1.13E+00
756,1.26E+00,1.22E+00,1.12E+00
757,1.26E+00,1.22E+00,1.12E+00
758,1.27E+00,1.23E+00,1.12E+00
759,1.25E+00,1.19E+00,1.09E+00
760,1.26E+00,2.66E-01,2.47E-01
761,1.25E+00,1.54E-01,1.43E-01
762,1.25E+00,6.88E-01,6.35E-01
763,1.25E+00,3.80E-01,3.52E-01
764,1.26E+00,5.39E-01,4.99E-01
765,1.25E+00,6.86E-01,6.34E-01
766,1.20E+00,8.15E-01,7.51E-01
767,1.21E+00,9.74E-01,8.96E-01
768,1.23E+00,1.11E+00,1.02E+00
769,1.21E+00,1.13E+00,1.03E+00
770,1.21E+00,1.16E+00,1.06E+00
771,1.21E+00,1.17E+00,1.07E+00
772,1.21E+00,1.18E+00,1.08E+00
773,1.21E+00,1.18E+00,1.08E+00
774,1.21E+00,1.18E+00,1.08E+00
775,1.21E+00,1.18E+00,1.08E+00
776,1.21E+00,1.18E+00,1.08E+00
777,1.20E+00,1.17E+00,1.08E+00
778,1.20E+00,1.17E+00,1.08E+00
779,1.21E+00,1.18E+00,1.08E+00
780,1.19E+00,1.16E+00,1.07E+00
781,1.19E+00,1.16E+00,1.07E+00
782,1.20E+00,1.17E+00,1.07E+00
783,1.19E+00,1.16E+00,1.07E+00
784,1.18E+00,1.15E+00,1.06E+00
785,1.19E+00,1.16E+00,1.06E+00
786,1.19E+00,1.16E+00,1.07E+00
787,1.19E+00,1.15E+00,1.05E+00
788,1.18E+00,1.13E+00,1.04E+00
789,1.18E+00,1.13E+00,1.04E+00
790,1.17E+00,1.09E+00,1.00E+00
791,1.16E+00,1.11E+00,1.02E+00
792,1.15E+00,1.10E+00,1.01E+00
793,1.14E+00,1.09E+00,1.00E+00
794,1.13E+00,1.10E+00,1.01E+00
795,1.13E+00,1.09E+00,1.01E+00
796,1.14E+00,1.07E+00,9.90E-01
797,1.16E+00,1.09E+00,1.01E+00
798,1.15E+00,1.11E+00,1.02E+00
799,1.14E+00,1.09E+00,1.00E+00
800,1.12E+00,1.07E+00,9.89E-01
801,1.14E+00,1.08E+00,1.00E+00
802,1.14E+00,1.09E+00,1.00E+00
803,1.12E+00,1.07E+00,9.83E-01
804,1.13E+00,1.08E+00,9.95E-01
805,1.10E+00,1.05E+00,9.73E-01
806,1.13E+00,1.10E+00,1.01E+00
807,1.12E+00,1.09E+00,1.00E+00
808,1.12E+00,1.08E+00,9.98E-01
809,1.10E+00,1.05E+00,9.74E-01
810,1.11E+00,1.06E+00,9.75E-01
811,1.11E+00,1.05E+00,9.73E-01
812,1.12E+00,1.03E+00,9.49E-01
813,1.12E+00,1.01E+00,9.32E-01
814,1.12E+00,9.04E-01,8.37E-01
815,1.11E+00,8.95E-01,8.29E-01
816,1.11E+00,8.32E-01,7.72E-01
817,1.11E+00,8.52E-01,7.90E-01
818,1.09E+00,8.23E-01,7.63E-01
819,1.07E+00,9.05E-01,8.38E-01
820,1.07E+00,8.62E-01,7.99E-01
821,1.08E+00,9.98E-01,9.23E-01
822,1.06E+00,9.52E-01,8.81E-01
823,1.08E+00,6.73E-01,6.26E-01
824,1.07E+00,9.35E-01,8.66E-01
825,1.07E+00,9.69E-01,8.98E-01
826,1.08E+00,9.34E-01,8.65E-01
827,1.08E+00,9.85E-01,9.12E-01
828,1.07E+00,8.50E-01,7.89E-01
829,1.06E+00,9.29E-01,8.61E-01
830,1.06E+00,9.16E-01,8.49E-01
831,1.06E+00,9.24E-01,8.57E-01
832,1.06E+00,8.94E-01,8.30E-01
833,1.03E+00,9.57E-01,8.86E-01
834,1.05E+00,9.34E-01,8.66E-01
835,1.05E+00,1.00E+00,9.29E-01
836,1.06E+00,9.72E-01,9.01E-01
837,1.05E+00,1.01E+00,9.35E-01
838,1.05E+00,9.99E-01,9.26E-01
839,1.04E+00,1.00E+00,9.28E-01
840,1.05E+00,1.02E+00,9.41E-01
841,1.05E+00,1.01E+00,9.36E-01
842,1.03E+00,9.97E-01,9.24E-01
843,1.03E+00,1.01E+00,9.32E-01
844,1.01E+00,9.86E-01,9.14E-01
845,1.04E+00,1.02E+00,9.42E-01
846,1.04E+00,1.02E+00,9.44E-01
847,1.01E+00,9.92E-01,9.19E-01
848,1.01E+00,9.92E-01,9.20E-01
849,1.01E+00,9.86E-01,9.14E-01
850,9.10E-01,8.94E-01,8.29E-01
851,9.98E-01,9.75E-01,9.05E-01
852,9.90E-01,9.69E-01,8.99E-01
853,9.81E-01,9.65E-01,8.95E-01
854,8.69E-01,8.51E-01,7.90E-01
855,9.27E-01,9.13E-01,8.47E-01
856,9.90E-01,9.73E-01,9.03E-01
857,1.01E+00,9.92E-01,9.21E-01
858,1.01E+00,9.92E-01,9.21E-01
859,1.01E+00,9.92E-01,9.21E-01
860,1.00E+00,9.88E-01,9.18E-01
861,9.99E-01,9.87E-01,9.16E-01
862,1.01E+00,9.94E-01,9.24E-01
863,1.01E+00,1.00E+00,9.29E-01
864,9.90E-01,9.79E-01,9.10E-01
865,9.74E-01,9.63E-01,8.95E-01
866,8.58E-01,8.49E-01,7.89E-01
867,9.25E-01,9.15E-01,8.51E-01
868,9.69E-01,9.59E-01,8.91E-01
869,9.59E-01,9.50E-01,8.83E-01
870,9.77E-01,9.68E-01,8.99E-01
871,9.63E-01,9.54E-01,8.87E-01
872,9.76E-01,9.67E-01,8.99E-01
873,9.66E-01,9.57E-01,8.90E-01
874,9.49E-01,9.40E-01,8.75E-01
875,9.36E-01,9.27E-01,8.62E-01
876,9.62E-01,9.53E-01,8.86E-01
877,9.65E-01,9.56E-01,8.89E-01
878,9.62E-01,9.52E-01,8.86E-01
879,9.46E-01,9.37E-01,8.71E-01
880,9.49E-01,9.40E-01,8.74E-01
881,9.20E-01,9.09E-01,8.46E-01
882,9.44E-01,9.32E-01,8.68E-01
883,9.39E-01,9.29E-01,8.65E-01
884,9.44E-01,9.33E-01,8.69E-01
885,9.55E-01,9.44E-01,8.79E-01
886,9.26E-01,9.08E-01,8.45E-01
887,9.23E-01,9.11E-01,8.48E-01
888,9.41E-01,9.22E-01,8.59E-01
889,9.44E-01,9.35E-01,8.70E-01
890,9.42E-01,9.24E-01,8.61E-01
891,9.39E-01,9.26E-01,8.63E-01
892,9.33E-01,9.09E-01,8.47E-01
893,9.18E-01,8.73E-01,8.14E-01
894,9.24E-01,8.51E-01,7.94E-01
895,9.26E-01,8.14E-01,7.60E-01
896,9.34E-01,7.63E-01,7.13E-01
897,9.27E-01,6.66E-01,6.23E-01
898,9.24E-01,7.18E-01,6.71E-01
899,9.14E-01,5.49E-01,5.15E-01
900,9.14E-01,7.43E-01,6.94E-01
901,8.98E-01,5.99E-01,5.62E-01
902,8.77E-01,6.68E-01,6.25E-01
903,9.22E-01,6.89E-01,6.45E-01
904,9.21E-01,8.45E-01,7.89E-01
905,9.18E-01,8.17E-01,7.63E-01
906,9.08E-01,7.76E-01,7.25E-01
907,9.15E-01,6.39E-01,5.98E-01
908,9.01E-01,6.52E-01,6.11E-01
909,8.86E-01,7.04E-01,6.59E-01
910,8.95E-01,6.25E-01,5.86E-01
911,8.97E-01,6.68E-01,6.26E-01
912,8.90E-01,6.89E-01,6.45E-01
913,9.00E-01,6.28E-01,5.89E-01
914,8.98E-01,6.26E-01,5.87E-01
915,8.88E-01,6.78E-01,6.36E-01
916,8.95E-01,5.76E-01,5.41E-01
917,8.89E-01,7.30E-01,6.84E-01
918,8.88E-01,5.93E-01,5.56E-01
919,8.92E-01,7.39E-01,6.92E-01
920,8.85E-01,7.44E-01,6.97E-01
921,8.70E-01,7.80E-01,7.30E-01
922,8.63E-01,7.00E-01,6.56E-01
923,8.33E-01,7.45E-01,6.97E-01
924,8.70E-01,7.22E-01,6.76E-01
925,8.76E-01,7.11E-01,6.66E-01
926,8.46E-01,7.03E-01,6.59E-01
927,8.78E-01,7.87E-01,7.37E-01
928,8.71E-01,5.90E-01,5.54E-01
929,8.70E-01,5.51E-01,5.18E-01
930,8.69E-01,4.32E-01,4.07E-01
931,8.71E-01,4.09E-01,3.85E-01
932,8.65E-01,3.01E-01,2.84E-01
933,8.70E-01,2.48E-01,2.35E-01
934,8.67E-01,1.44E-01,1.36E-01
935,8.56E-01,2.51E-01,2.37E-01
936,8.52E-01,1.61E-01,1.53E-01
937,8.54E-01,1.63E-01,1.55E-01
938,8.59E-01,2.01E-01,1.90E-01
939,8.57E-01,3.99E-01,3.76E-01
940,8.40E-01,4.72E-01,4.44E-01
941,8.32E-01,3.72E-01,3.51E-01
942,8.06E-01,4.05E-01,3.82E-01
943,8.38E-01,2.78E-01,2.63E-01
944,8.19E-01,2.86E-01,2.70E-01
945,8.24E-01,3.68E-01,3.47E-01
946,8.31E-01,1.95E-01,1.84E-01
947,8.28E-01,3.71E-01,3.50E-01
948,8.31E-01,2.74E-01,2.59E-01
949,8.33E-01,4.94E-01,4.65E-01
950,8.29E-01,1.47E-01,1.39E-01
951,8.20E-01,4.84E-01,4.56E-01
952,8.24E-01,2.69E-01,2.54E-01
953,8.21E-01,3.44E-01,3.24E-01
954,8.12E-01,4.24E-01,4.00E-01
955,7.69E-01,3.41E-01,3.22E-01
956,8.02E-01,3.28E-01,3.10E-01
957,8.06E-01,2.71E-01,2.56E-01
958,8.11E-01,4.61E-01,4.35E-01
959,8.15E-01,3.74E-01,3.53E-01
960,8.06E-01,4.21E-01,3.97E-01
961,8.00E-01,4.61E-01,4.35E-01
962,8.02E-01,4.42E-01,4.17E-01
963,7.98E-01,5.05E-01,4.76E-01
964,7.88E-01,4.59E-01,4.32E-01
965,7.96E-01,5.04E-01,4.75E-01
966,7.86E-01,5.03E-01,4.74E-01
967,7.95E-01,5.02E-01,4.74E-01
968,7.85E-01,6.52E-01,6.13E-01
969,7.88E-01,6.86E-01,6.45E-01
970,7.91E-01,6.35E-01,5.97E-01
971,7.82E-01,7.14E-01,6.71E-01
972,7.88E-01,6.88E-01,6.46E-01
973,7.81E-01,6.06E-01,5.71E-01
974,7.69E-01,5.75E-01,5.42E-01
975,7.73E-01,5.90E-01,5.55E-01
976,7.81E-01,5.72E-01,5.39E-01
977,7.72E-01,6.39E-01,6.01E-01
978,7.78E-01,6.15E-01,5.79E-01
979,7.67E-01,6.38E-01,6.00E-01
980,7.75E-01,6.05E-01,5.69E-01
981,7.73E-01,7.13E-01,6.71E-01
982,7.79E-01,6.92E-01,6.51E-01
983,7.75E-01,6.69E-01,6.29E-01
984,7.69E-01,7.37E-01,6.93E-01
985,7.71E-01,6.88E-01,6.47E-01
986,7.66E-01,7.51E-01,7.06E-01
987,7.66E-01,7.39E-01,6.95E-01
988,7.64E-01,7.35E-01,6.91E-01
989,7.55E-01,7.49E-01,7.04E-01
990,7.57E-01,7.32E-01,6.88E-01
991,7.62E-01,7.54E-01,7.08E-01
992,7.57E-01,7.51E-01,7.06E-01
993,7.56E-01,7.37E-01,6.93E-01
994,7.59E-01,7.54E-01,7.09E-01
995,7.54E-01,7.52E-01,7.07E-01
996,7.53E-01,7.49E-01,7.04E-01
997,7.43E-01,7.40E-01,6.96E-01
998,7.43E-01,7.39E-01,6.95E-01
999,7.42E-01,7.39E-01,6.95E-01
1000,7.43E-01,7.35E-01,6.92E-01
1001,7.47E-01,7.44E-01,7.00E-01
1002,7.47E-01,7.28E-01,6.85E-01
1003,7.38E-01,7.34E-01,6.91E-01
1004,7.31E-01,7.23E-01,6.81E-01
1005,6.84E-01,6.82E-01,6.41E-01
1006,7.18E-01,7.13E-01,6.70E-01
1007,7.31E-01,7.28E-01,6.85E-01
1008,7.33E-01,7.27E-01,6.84E-01
1009,7.29E-01,7.20E-01,6.77E-01
1010,7.31E-01,7.19E-01,6.77E-01
1011,7.26E-01,7.23E-01,6.80E-01
1012,7.25E-01,7.19E-01,6.77E-01
1013,7.20E-01,7.18E-01,6.76E-01
1014,7.23E-01,7.21E-01,6.78E-01
1015,7.11E-01,7.08E-01,6.67E-01
1016,7.14E-01,7.11E-01,6.70E-01
1017,7.07E-01,7.03E-01,6.62E-01
1018,7.16E-01,7.14E-01,6.73E-01
1019,6.96E-01,6.89E-01,6.49E-01
1020,7.01E-01,6.99E-01,6.58E-01
1021,7.03E-01,7.02E-01,6.61E-01
1022,6.93E-01,6.90E-01,6.50E-01
1023,6.99E-01,6.95E-01,6.55E-01
1024,7.01E-01,6.91E-01,6.51E-01
1025,6.99E-01,6.98E-01,6.57E-01
1026,6.99E-01,6.96E-01,6.56E-01
1027,6.96E-01,6.93E-01,6.53E-01
1028,6.97E-01,6.94E-01,6.54E-01
1029,6.90E-01,6.86E-01,6.47E-01
1030,6.92E-01,6.91E-01,6.51E-01
1031,6.90E-01,6.87E-01,6.48E-01
1032,6.90E-01,6.88E-01,6.49E-01
1033,6.78E-01,6.76E-01,6.38E-01
1034,6.82E-01,6.80E-01,6.41E-01
1035,6.84E-01,6.82E-01,6.43E-01
1036,6.84E-01,6.82E-01,6.43E-01
1037,6.77E-01,6.75E-01,6.37E-01
1038,6.74E-01,6.72E-01,6.34E-01
1039,6.79E-01,6.76E-01,6.38E-01
1040,6.74E-01,6.72E-01,6.34E-01
1041,6.75E-01,6.72E-01,6.34E-01
1042,6.75E-01,6.72E-01,6.34E-01
1043,6.69E-01,6.65E-01,6.28E-01
1044,6.72E-01,6.68E-01,6.31E-01
1045,6.68E-01,6.65E-01,6.27E-01
1046,6.51E-01,6.47E-01,6.11E-01
1047,6.62E-01,6.57E-01,6.20E-01
1048,6.68E-01,6.63E-01,6.26E-01
1049,6.65E-01,6.59E-01,6.22E-01
1050,6.61E-01,6.55E-01,6.18E-01
1051,6.62E-01,6.55E-01,6.19E-01
1052,6.58E-01,6.51E-01,6.15E-01
1053,6.57E-01,6.49E-01,6.13E-01
1054,6.55E-01,6.46E-01,6.10E-01
1055,6.58E-01,6.48E-01,6.12E-01
1056,6.56E-01,6.46E-01,6.11E-01
1057,6.55E-01,6.45E-01,6.09E-01
1058,6.49E-01,6.38E-01,6.03E-01
1059,6.30E-01,6.19E-01,5.85E-01
1060,6.48E-01,6.36E-01,6.01E-01
1061,6.34E-01,6.21E-01,5.87E-01
1062,6.47E-01,6.33E-01,5.98E-01
1063,6.37E-01,6.22E-01,5.88E-01
1064,6.46E-01,6.32E-01,5.97E-01
1065,6.45E-01,6.29E-01,5.95E-01
1066,6.31E-01,6.17E-01,5.83E-01
1067,6.35E-01,6.20E-01,5.86E-01
1068,6.36E-01,6.19E-01,5.86E-01
1069,6.01E-01,5.86E-01,5.54E-01
1070,6.22E-01,6.05E-01,5.72E-01
1071,6.28E-01,6.17E-01,5.83E-01
1072,6.31E-01,6.15E-01,5.82E-01
1073,6.18E-01,6.04E-01,5.71E-01
1074,6.31E-01,6.22E-01,5.88E-01
1075,6.18E-01,5.93E-01,5.61E-01
1076,6.25E-01,6.15E-01,5.81E-01
1077,6.24E-01,6.04E-01,5.72E-01
1078,6.25E-01,6.03E-01,5.71E-01
1079,6.12E-01,6.05E-01,5.72E-01
1080,6.23E-01,5.97E-01,5.65E-01
1081,6.07E-01,5.81E-01,5.50E-01
1082,6.02E-01,5.89E-01,5.58E-01
1083,6.09E-01,5.98E-01,5.66E-01
1084,6.14E-01,5.79E-01,5.48E-01
1085,6.12E-01,5.93E-01,5.62E-01
1086,6.16E-01,5.54E-01,5.25E-01
1087,5.91E-01,5.67E-01,5.37E-01
1088,6.07E-01,5.93E-01,5.62E-01
1089,6.09E-01,5.79E-01,5.49E-01
1090,6.04E-01,5.56E-01,5.27E-01
1091,6.08E-01,5.88E-01,5.57E-01
1092,5.97E-01,5.81E-01,5.50E-01
1093,5.92E-01,5.11E-01,4.84E-01
1094,5.61E-01,5.40E-01,5.11E-01
1095,5.83E-01,5.21E-01,4.94E-01
1096,5.86E-01,5.03E-01,4.77E-01
1097,5.91E-01,5.79E-01,5.48E-01
1098,5.87E-01,5.03E-01,4.77E-01
1099,5.82E-01,5.08E-01,4.82E-01
1100,6.00E-01,4.86E-01,4.61E-01
1101,5.99E-01,4.97E-01,4.72E-01
1102,5.82E-01,4.69E-01,4.45E-01
1103,5.95E-01,4.66E-01,4.43E-01
1104,5.93E-01,4.68E-01,4.44E-01
1105,5.91E-01,5.06E-01,4.81E-01
1106,5.90E-01,3.98E-01,3.78E-01
1107,5.86E-01,4.83E-01,4.59E-01
1108,5.87E-01,4.16E-01,3.95E-01
1109,5.86E-01,4.13E-01,3.92E-01
1110,5.87E-01,4.79E-01,4.55E-01
1111,5.83E-01,3.32E-01,3.16E-01
1112,5.83E-01,4.14E-01,3.93E-01
1113,5.78E-01,2.69E-01,2.56E-01
1114,5.84E-01,3.00E-01,2.86E-01
1115,5.82E-01,2.50E-01,2.38E-01
1116,5.75E-01,2.01E-01,1.92E-01
1117,5.83E-01,7.96E-02,7.62E-02
1118,5.72E-01,2.18E-01,2.08E-01
1119,5.72E-01,1.13E-01,1.08E-01
1120,5.69E-01,1.42E-01,1.36E-01
1121,5.72E-01,1.86E-01,1.78E-01
1122,5.75E-01,8.17E-02,7.82E-02
1123,5.74E-01,1.28E-01,1.23E-01
1124,5.73E-01,1.09E-01,1.04E-01
1125,5.70E-01,1.44E-01,1.38E-01
1126,5.53E-01,5.16E-02,4.94E-02
1127,5.62E-01,1.57E-01,1.50E-01
1128,5.68E-01,9.92E-02,9.49E-02
1129,5.68E-01,1.06E-01,1.01E-01
1130,5.64E-01,7.06E-02,6.76E-02
1131,5.68E-01,2.96E-01,2.82E-01
1132,5.70E-01,2.34E-01,2.24E-01
1133,5.62E-01,1.53E-01,1.47E-01
1134,5.63E-01,4.17E-02,4.00E-02
1135,5.63E-01,1.55E-02,1.48E-02
1136,5.65E-01,1.29E-01,1.23E-01
1137,5.52E-01,2.88E-01,2.75E-01
1138,5.44E-01,2.03E-01,1.94E-01
1139,5.53E-01,2.99E-01,2.85E-01
1140,5.56E-01,2.56E-01,2.44E-01
1141,5.43E-01,1.93E-01,1.85E-01
1142,5.55E-01,2.25E-01,2.15E-01
1143,5.50E-01,3.12E-01,2.98E-01
1144,5.45E-01,1.13E-01,1.08E-01
1145,5.50E-01,1.46E-01,1.40E-01
1146,5.54E-01,1.58E-01,1.51E-01
1147,5.54E-01,5.92E-02,5.67E-02
1148,5.50E-01,2.71E-01,2.59E-01
1149,5.48E-01,2.19E-01,2.09E-01
1150,5.46E-01,1.22E-01,1.16E-01
1151,5.45E-01,2.03E-01,1.95E-01
1152,5.42E-01,2.48E-01,2.37E-01
1153,5.43E-01,2.38E-01,2.28E-01
1154,5.47E-01,1.42E-01,1.36E-01
1155,5.47E-01,3.13E-01,2.99E-01
1156,5.40E-01,2.81E-01,2.68E-01
1157,5.44E-01,3.15E-01,3.00E-01
1158,5.43E-01,3.12E-01,2.98E-01
1159,5.35E-01,3.37E-01,3.22E-01
1160,5.29E-01,2.86E-01,2.74E-01
1161,5.19E-01,3.48E-01,3.32E-01
1162,5.33E-01,3.50E-01,3.34E-01
1163,5.37E-01,4.69E-01,4.46E-01
1164,5.27E-01,4.02E-01,3.83E-01
1165,5.35E-01,3.89E-01,3.71E-01
1166,5.22E-01,3.75E-01,3.58E-01
